Contribution	Value	Std.Error	DF	t.value	p.value
m.A	-1.01558917646806	0.0953438782216817	1296	-10.6518551102645	1.86366034614604e-25
m.B	-0.653899427904976	0.0952043086843442	1296	-6.86838061156476	1.00508845154273e-11
m.C	-1.58731327105873	0.0978803283758723	1296	-16.2168772561046	5.45079538421274e-54
m.D	-1.40506599766995	0.0957654582881693	1296	-14.6719498114022	3.32547939447762e-45
m.remainder	-0.671855682812601	0.076567897166864	1296	-8.77463934197422	5.3015229963952e-18
genotypeabcd	7.07673120178105	0.106661805307617	1296	66.3473788144827	0
genotypeabcD	7.31711422778468	0.113815528438501	1296	64.2892435520205	0
genotypeabCd	7.08607002808165	0.114126422561138	1296	62.0896534655293	0
genotypeabCD	6.51068798469599	0.111372853532681	1296	58.4584822798447	0
genotypeaBcd	6.93281653045306	0.113828439925143	1296	60.9058380753728	0
genotypeaBcD	7.03911466068372	0.111261192572889	1296	63.2665756847097	0
genotypeaBCd	6.8192280809771	0.111249102132031	1296	61.2969268990955	0
genotypeaBCD	6.37458870241855	0.110528398626245	1296	57.6737633191849	0
genotypeAbcd	7.07681457158719	0.113736628719796	1296	62.2210685444334	0
genotypeAbcD	6.73362928417517	0.11111272593717	1296	60.6017828055336	0
genotypeAbCd	6.89331878320717	0.111494060639912	1296	61.8267802216857	0
genotypeAbCD	6.27482153499159	0.110580891962874	1296	56.7441754502962	0
genotypeABcd	7.080772228018	0.11115722301241	1296	63.7005138858812	0
genotypeABcD	6.40539810411372	0.11034503502075	1296	58.04881119399	0
genotypeABCd	6.60783314757067	0.11034051395989	1296	59.885828970968	0
genotypeABCD	6.18783798874659	0.106186484720516	1296	58.2733104409007	0
